state,stateabbr,countyfips,county,total_population,model1_drive_time_min,model1_avg_distance,model1_desert_pop_pct,model1_pharm_desert
Alabama,AL,1001,Autauga,55639.0,13.383620278341931,4.087236327897071,30.55051312927982,0.0
Alabama,AL,1003,Baldwin,222999.0,8.951458652280952,3.090232850395628,14.27898779815156,0.0
Alabama,AL,1005,Barbour,25026.0,17.083128532992355,6.858310919444619,50.94301925996964,1.0
Alabama,AL,1007,Bibb,22374.0,16.682179508953844,5.565574755149723,65.04871726110663,1.0
Alabama,AL,1009,Blount,57755.0,13.42207074712146,4.35937567309314,40.857068652064754,0.0
Alabama,AL,1011,Bullock,10173.0,15.220600904354663,5.6311592625196765,38.562862479111374,0.0
Alabama,AL,1013,Butler,22407.0,18.630968923401912,6.802252589471945,45.36528763332887,0.0
Alabama,AL,1015,Calhoun,116639.0,9.86511334116376,2.767324143650874,22.7994067164499,0.0
Alabama,AL,1017,Chambers,37657.0,14.854677102973328,4.976023748731349,37.84422550920148,0.0
Alabama,AL,1019,Cherokee,26035.0,20.333086870238784,6.319124264544897,74.67255617438065,1.0
Alabama,AL,1021,Chilton,50626.0,14.17633177945456,5.134764392156549,53.25721961047682,1.0
Alabama,AL,1023,Choctaw,12755.0,36.67003183065464,14.22133180801357,100.0,1.0
Alabama,AL,1025,Clarke,27743.0,12.744775414819356,5.881695148586876,44.08319215658004,0.0
Alabama,AL,1027,Clay,13285.0,18.868452640822984,6.609043372471291,56.35679337598796,1.0
Alabama,AL,1029,Cleburne,14952.0,28.019031032637777,8.75047991211623,100.0,1.0
Alabama,AL,1031,Coffee,52238.0,12.299145328432685,5.105060357097694,32.42467169493472,0.0
Alabama,AL,1033,Colbert,54957.0,10.88424690212348,3.1917947628627887,36.67412704478046,0.0
Alabama,AL,1035,Conecuh,12219.0,23.79845194642224,9.627905959636085,100.0,1.0
Alabama,AL,1037,Coosa,10696.0,26.494877274993765,8.560425135056919,68.01608077786089,1.0
Alabama,AL,1039,Covington,38740.0,12.3644177852349,4.21386603269132,39.26948890036138,0.0
Alabama,AL,1041,Crenshaw,13826.0,26.595511041998165,9.781810058633363,71.95862867062057,1.0
Alabama,AL,1043,Cullman,83345.0,12.072933557301978,4.386726747839935,25.3572499850021,0.0
Alabama,AL,1045,Dale,63143.0,14.68514854642109,4.560966385738028,53.36933626846998,1.0
Alabama,AL,1047,Dallas,38184.0,10.763358937425798,4.566359754226102,24.22218730358265,0.0
Alabama,AL,1049,De Kalb,71430.0,11.507135302627283,4.446559316716665,15.476690466190677,0.0
Alabama,AL,1051,Elmore,81526.0,12.800818389225524,3.8662661116145953,42.96543433996517,0.0
Alabama,AL,1053,Escambia,36775.0,8.083810867890325,3.599950852950967,2.594153636981645,0.0
Alabama,AL,1055,Etowah,102721.0,9.51750682593303,2.636101799419768,16.149570194994208,0.0
Alabama,AL,1057,Fayette,16406.0,14.943784530049982,5.722715776802692,48.585883213458494,0.0
Alabama,AL,1059,Franklin,31587.0,10.399595202667763,4.428984257808754,12.068255928071675,0.0
Alabama,AL,1061,Geneva,36495.0,17.621691071836324,6.255226044171425,68.18194273188108,1.0
Alabama,AL,1063,Greene,8221.0,44.61566427441917,13.35253832868313,100.0,1.0
Alabama,AL,1065,Hale,14754.0,27.896999457774164,8.744273332435972,100.0,1.0
Alabama,AL,1067,Henry,17123.0,20.01795810702953,7.631346349666297,62.72265374058284,1.0
Alabama,AL,1069,Houston,105319.0,9.100269742401656,2.6769976793845127,31.05992271100181,0.0
Alabama,AL,1071,Jackson,55313.0,17.458578797027826,5.995209288419195,64.74608139135466,1.0
Alabama,AL,1073,Jefferson,658615.0,5.400953192684648,1.5972448218147306,3.7487758402101377,0.0
Alabama,AL,1075,Lamar,13854.0,16.60211229007266,5.869436511659451,30.24397285982388,0.0
Alabama,AL,1077,Lauderdale,92870.0,10.306434542909445,3.043840341677277,37.148702487347904,0.0
Alabama,AL,1079,Lawrence,37591.0,14.318422574552422,5.212664949606372,37.03014019313133,0.0
Alabama,AL,1081,Lee,163461.0,8.36736587524445,2.500242429841088,16.737937489676437,0.0
Alabama,AL,1083,Limestone,101182.0,11.923461383118209,3.891839143726404,30.77029511177877,0.0
Alabama,AL,1085,Lowndes,9936.0,42.02758239398819,13.117571197105136,100.0,1.0
Alabama,AL,1087,Macon,18437.0,16.12641333550289,4.645029304564347,41.30823886749472,0.0
Alabama,AL,1089,Madison,367686.0,6.195620594746604,1.8259288325586764,6.475906072028851,0.0
Alabama,AL,1091,Marengo,19138.0,19.58134608283694,9.406928238585934,52.06395652628279,1.0
Alabama,AL,1093,Marion,29818.0,9.204120475328102,4.493427094969055,21.124823931853243,0.0
Alabama,AL,1095,Marshall,105357.0,9.801523066019978,3.787506439183436,18.980229125734407,0.0
Alabama,AL,1097,Mobile,413977.0,6.957628539749791,2.03009786901577,13.045893854006382,0.0
Alabama,AL,1099,Monroe,21006.0,16.384979847027832,8.449470269253998,37.34647243644673,0.0
Alabama,AL,1101,Montgomery,226451.0,6.691995741536432,2.3972773504187743,7.338011313705834,0.0
Alabama,AL,1103,Morgan,119352.0,9.931332263668253,3.2159748830717567,27.28735169917555,0.0
Alabama,AL,1105,Perry,9104.0,29.273984072934976,12.37848129129111,100.0,1.0
Alabama,AL,1107,Pickens,20049.0,22.147081483698276,6.781826288599153,100.0,1.0
Alabama,AL,1109,Pike,35868.0,12.58413443738151,4.546306248695488,33.88256942121111,0.0
Alabama,AL,1111,Randolph,22732.0,16.399365344008448,6.582344767788247,59.59000527890199,1.0
